author,title,fragment
Лермонтов М.Ю.,Русская мелодия,"В уме своем я создал мир иной
И образов иных существованье;
Я цепью их связал между собой,
Я дал им вид, но не дал им названья;
Вдруг зимних бурь раздался грозный вой, —
И рушилось неверное созданье!..

Так перед праздною толпой
И с балалайкою народной
Сидит в тени певец простой
И бескорыстный, и свободный!..

Он громкий звук внезапно раздает,
В честь девы, милой сердцу и прекрасной, —
И звук внезапно струны оборвет,
И слышится начало песни! — но напрасно! —
Никто конца ее не допоет!.."
Лермонтов М.Ю.,Воздушный корабль,"По синим волнам океана,
Лишь звезды блеснут в небесах,
Корабль одинокий несется,
Несется на всех парусах.
Не гнутся высокие мачты,
На них флюгера не шумят,
И молча в открытые люки
Чугунные пушки глядят.
Не слышно на нем капитана,
Не видно матросов на нем;
Но скалы, и тайные мели,
И бури ему нипочем.
Есть остров на том океане —
Пустынный и мрачный гранит;
На острове том есть могила,
А в ней император зарыт.
Зарыт он без почестей бранных
Врагами в сыпучий песок,
Лежит на нем камень тяжелый,
Чтоб встать он из гроба не мог.
И в час его грустной кончины,
В полночь, как свершается год,
К высокому берегу тихо
Воздушный корабль пристает.
Из гроба тогда император,
Очнувшись, является вдруг;
На нем треугольная шляпа
И серый походный сюртук.
Скрестивши могучие руки,
Главу опустивши на грудь,
Идет и к рулю он садится
И быстро пускается в путь.
Несется он к Франции милой,
Где славу оставил и трон,
Оставил наследника сына
И старую гвардию он.
И только что землю родную
Завидит во мраке ночном,
Опять его сердце трепещет
И очи пылают огнем.
На берег большими шагами
Он смело и прямо идет,
Соратников громко он кличет
И маршалов грозно зовет.
Но спят усачи-гренадеры —
В равнине, где Эльба шумит,
Под снегом холодной России,
Под знойным песком пирамид.
И маршалы зова не слышат:
Иные погибли в бою,
Другие ему изменили
И продали шпагу свою.
И, топнув о землю ногою,
Сердито он взад и вперед
По тихому берегу ходит,
И снова он громко зовет:
Зовет он любезного сына,
Опору в превратной судьбе;
Ему обещает полмира,
А Францию только себе.
Но в цвете надежды и силы
Угас его царственный сын,
И долго, его поджидая,
Стоит император один —
Стоит он и тяжко вздыхает,
Пока озарится восток,
И капают горькие слезы
Из глаз на холодной песок,
Потом на корабль свой волшебный,
Главу опустивши на грудь,
Идет и, махнувши рукою,
В обратный пускается путь."
Лермонтов М.Ю.,Ветка Палестины,"Скажи мне, ветка Палестины:
Где ты росла, где ты цвела?
Каких холмов, какой долины
Ты украшением была?
У вод ли чистых Иордана
Востока луч тебя ласкал,
Ночной ли ветр в горах Ливана
Тебя сердито колыхал?
Молитву ль тихую читали,
Иль пели песни старины,
Когда листы твои сплетали
Солима бедные сыны?
И пальма та жива ль поныне?
Все так же ль манит в летний зной
Она прохожего в пустыне
Широколиственной главой?
Или в разлуке безотрадной
Она увяла, как и ты,
И дольний прах ложится жадно
На пожелтевшие листы?..
Поведай: набожной рукою
Кто в этот край тебя занес?
Грустил он часто над тобою?
Хранишь ты след горючих слез?
Иль, божьей рати лучший воин,
Он был, с безоблачным челом,
Как ты, всегда небес достоин
Перед людьми и божеством?..
Заботой тайною хранима
Перед иконой золотой
Стоишь ты, ветвь Ерусалима,
Святыни верный часовой!
Прозрачный сумрак, луч лампады,
Кивот и крест, символ святой...
Все полно мира и отрады
Вокруг тебя и над тобой."
Лермонтов М.Ю.,Листок,"Дубовый листок оторвался от ветки родимой
И в степь укатился, жестокою бурей гонимый;
Засох и увял он от холода, зноя и горя
И вот, наконец, докатился до Черного моря,
У Черного моря чинара стоит молодая;
С ней шепчется ветер, зеленые ветви лаская;
На ветвях зеленых качаются райские птицы;
Поют они песни про славу морской царь-девицы,
И странник прижался у корня чинары высокой;
Приюта на время он молит с тоскою глубокой,
И так говорит он: «Я бедный листочек дубовый,
До срока созрел я и вырос в отчизне суровой.
Один и без цели по свету ношуся давно я,
Засох я без тени, увял я без сна и покоя.
Прими же пришельца меж листьев своих изумрудных,
Немало я знаю рассказов мудреных и чудных».
«На что мне тебя? — отвечает младая чинара, —
Ты пылен и желт, — и сынам моим свежим не пара.
Ты много видал — да к чему мне твои небылицы?
Мой слух утомили давно уж и райские птицы.
Иди себе дальше; о странник! тебя я не знаю!
Я солнцем любима, цвету для него и блистаю;
По небу я ветви раскинула здесь на просторе,
И корни мои умывает холодное море».
"
Лермонтов М.Ю.,Дереву,"Давно ли с зеленью радушной
Передо мной стояло ты,
И я коре твоей послушной
Вверял любимые мечты;
Лишь год назад два талисмана
Светилися в тени твоей,
И ниже замысла обмана
Не скрылося в душе детей!..
Детей! — о! да, я был ребенок! —
Промчался легкой страсти сон;
Дремоты флёр был слишком тонок —
В единый миг прорвался он.
И деревцо с моей любовью
Погибло, чтобы вновь не цвесть;
Я жизнь его купил бы кровью, —
Но как переменить, что есть?
Ужели также вдохновенье
Умрет невозвратимо с ним?
Иль шуму светского волненья
Бороться с сердцем молодым?
Нет, нет, — мой дух бессмертен силой,
Мой гений веки пролетит;
И эти ветви над могилой
Певца-страдальца осветит."
Лермонтов М.Ю.,Завещание,"Есть место: близ тропы глухой,
В лесу пустынном средь поляны,
Где вьются вечером туманы,
Осеребренные луной...
Мой друг! ты знаешь ту поляну;
Там труп мой хладный ты зарой,
Когда дышать я перестану!

Могиле той не откажи
Ни в чем, последуя закону;
Поставь над нею крест из клену
И дикий камень положи;
Когда гроза тот лес встревожит,
Мой крест пришельца привлечет;
И добрый человек, быть может,
На диком камне отдохнет.
"
Лермонтов М.Ю.,К П......ну,"Забудь, любезный П<етерсо>н,
Мои минувшие сужденья;
Нет! недостоин бедный свет презренья,
Хоть наша жизнь минута сновиденья,
Хоть наша смерть струны порванной звон.
Мой ум его теперь ценить иначе станет.
Навряд ли кто-нибудь из нас страну узрит,
Где дружба дружбы не обманет,
Любовь любви не изменит.
Зачем же всё в сем мире бросить,
Зачем и счастья не найти:
Есть розы, друг, и на земном пути!
Их время злобное не все покосит!..
Пусть добродетель в прах падет,
Пусть будут все мольбы творцу бесплодны,
Навеки гений пусть умрет, —
Везде утехи есть толпе простонародной:
Но тот, на ком лежит уныния печать,
Кто, юный, потерял лета златые,
Того не могут услаждать
Ни дружба, ни любовь, ни песни боевые!.."
Лермонтов М.Ю.,И скучно и грустно,"И скучно и грустно, и некому руку подать
В минуту душевной невзгоды...
Желанья!.. что пользы напрасно и вечно желать?..
А годы проходят — все лучшие годы!
Любить... но кого же?.. на время — не стоит труда,
А вечно любить невозможно.
В себя ли заглянешь? — там прошлого нет и следа:
И радость, и муки, и все там ничтожно...
Что страсти? — ведь рано иль поздно их сладкий недуг
Исчезнет при слове рассудка;
И жизнь, как посмотришь с холодным вниманьем вокруг, —
Такая пустая и глупая шутка..."
Лермонтов М.Ю.,Одиночество,"Как страшно жизни сей оковы
Нам в одиночестве влачить.
Делить веселье — все готовы —
Никто не хочет грусть делить.
Один я здесь, как царь воздушный,
Страданья в сердце стеснены,
И вижу, как судьбе послушно,
Года уходят, будто сны;
И вновь приходят, с позлащенной,
Но той же старою мечтой,
И вижу гроб уединенный,
Он ждет; что ж медлить над землей?
Никто о том не покрутится,
И будут (я уверен в том)
О смерти больше веселиться,
Чем о рождении моем..."
Лермонтов М.Ю.,Поэт,"Когда Рафаэль вдохновенный
Пречистой девы лик священный
Живою кистью окончал,
Своим искусством восхищенный
Он пред картиною упал!
Но скоро сей порыв чудесный
Слабел в груди его младой,
И утомленный и немой,
Он забывал огонь небесный.
Таков поэт: чуть мысль блеснет,
Как он пером своим прольет
Всю душу; звуком громкой лиры
Чарует свет, и в тишине
Поет, забывшись в райском сне,
Вас, вас! души его кумиры!
И вдруг хладеет жар ланит,
Его сердечные волненья
Все тише, и призрак бежит!
Но долго, долго ум хранит
Первоначальны впечатленья."
Лермонтов М.Ю.,Поэт,"Отделкой золотой блистает мой кинжал;
Клинок надежный, без порока;
Булат его хранит таинственный закал —
Наследье бранного востока.
Наезднику в горах служил он много лет,
Не зная платы за услугу;
Не по одной груди провел он страшный след
И не одну прорвал кольчугу.
Забавы он делил послушнее раба,
Звенел в ответ речам обидным.
В те дни была б ему богатая резьба
Нарядом чуждым и постыдным.
Он взят за Тереком отважным казаком
На хладном трупе господина,
И долго он лежал заброшенный потом
В походной лавке армянина.
Теперь родных ножон, избитых на войне,
Лишен героя спутник бедный,
Игрушкой золотой он блещет на стене —
Увы, бесславный и безвредный!
Никто привычною, заботливой рукой
Его не чистит, не ласкает,
И надписи его, молясь перед зарей,
Никто с усердьем не читает...
В наш век изнеженный не так ли ты, поэт,
Свое утратил назначенье,
На злато променяв ту власть, которой свет
Внимал в немом благоговенье?
Бывало, мерный звук твоих могучих слов
Воспламенял бойца для битвы,
Он нужен был толпе, как чаша для пиров,
Как фимиам в часы молитвы.
Твой стих, как божий дух, носился над толпой;
И, отзыв мыслей благородных,
Звучал, как колокол на башне вечевой,
Во дни торжеств и бед народных.
Но скучен нам простой и гордый твой язык,
Нас тешат блёстки и обманы;
Как ветхая краса, наш ветхий мир привык
Морщины прятать под румяны...
Проснешься ль ты опять, осмеянный пророк?
Иль никогда, на голос мщенья
Из золотых ножон не вырвешь свой клинок,
Покрытый ржавчиной презренья?.."
Лермонтов М.Ю.,Поэт,"Погиб поэт! — невольник чести —
Пал, оклеветанный молвой,
С свинцом в груди и жаждой мести,
Поникнув гордой головой!..
Не вынесла душа поэта
Позора мелочных обид,
Восстал он против мнений света
Один, как прежде... и убит!
Убит!.. к чему теперь рыданья,
Пустых похвал ненужный хор
И жалкий лепет оправданья?
Судьбы свершился приговор!
Не вы ль сперва так злобно гнали
Его свободный, смелый дар
И для потехи раздували
Чуть затаившийся пожар?
Что ж? веселитесь... — он мучений
Последних вынести не мог:
Угас, как светоч, дивный гений,
Увял торжественный венок.
Его убийца хладнокровно
Навел удар... спасенья нет:
Пустое сердце бьется ровно.
В руке не дрогнул пистолет,
И что за диво?.. издалека,
Подобный сотням беглецов,
На ловлю счастья и чинов
Заброшен к нам по воле рока;
Смеясь, он дерзко презирал
Земли чужой язык и нравы;
Не мог щадить он нашей славы;
Не мог понять в сей миг кровавый,
На что́ он руку поднимал!..
И он убит — и взят могилой,
Как тот певец, неведомый, но милый,
Добыча ревности глухой,
Воспетый им с такою чудной силой,
Сраженный, как и он, безжалостной рукой.
Зачем от мирных нег и дружбы простодушной
Вступил он в этот свет, завистливый и душный
Для сердца вольного и пламенных страстей?
Зачем он руку дал клеветникам ничтожным,
Зачем поверил он словам и ласкам ложным,
Он, с юных лет постигнувший людей?..
И прежний сняв венок, — они венец терновый,
Увитый лаврами, надели на него:
Но иглы тайные сурово
Язвили славное чело;
Отравлены его последние мгновенья
Коварным шепотом насмешливых невежд,
И умер он — с напрасной жаждой мщенья,
С досадой тайною обманутых надежд.
Замолкли звуки чудных песен,
Не раздаваться им опять:
Приют певца угрюм и тесен,
И на устах его печать."
Лермонтов М.Ю.,Сон,"В полдневный жар в долине Дагестана
С свинцом в груди лежал недвижим я;
Глубокая еще дымилась рана,
По капле кровь точилася моя.
Лежал один я на песке долины;
Уступы скал теснилися кругом,
И солнце жгло их желтые вершины
И жгло меня — но спал я мертвым сном.
И снился мне сияющий огнями
Вечерний пир в родимой стороне.
Меж юных жен, увенчанных цветами,
Шел разговор веселый обо мне.
Но в разговор веселый не вступая,
Сидела там задумчиво одна,
И в грустный сон душа ее младая
Бог знает чем была погружена;
И снилась ей долина Дагестана;
Знакомый труп лежал в долине той;
В его груди, дымясь, чернела рана,
И кровь лилась хладеющей струей."
Лермонтов М.Ю.,Родина,"Люблю отчизну я, но странною любовью!
Не победит ее рассудок мой.
Ни слава, купленная кровью,
Ни полный гордого доверия покой,
Ни темной старины заветные преданья
Не шевелят во мне отрадного мечтанья,
Но я люблю — за что, не знаю сам —
Ее степей холодное молчанье,
Ее лесов безбрежных колыханье,
Разливы рек ее, подобные морям;
Проселочным путем люблю скакать в телеге
И, взором медленным пронзая ночи тень,
Встречать по сторонам, вздыхая о ночлеге,
Дрожащие огни печальных деревень.
Люблю дымок спаленной жнивы,
В степи ночующий обоз
И на холме средь желтой нивы
Чету белеющих берез.
С отрадой, многим незнакомой,
Я вижу полное гумно,
Избу, покрытую соломой,
С резными ставнями окно;
И в праздник, вечером росистым,
Смотреть до полночи готов
На пляску с топаньем и свистом
Под говор пьяных мужичков."
Лермонтов М.Ю.,empty,"Как часто, пестрою толпою окружен,
Когда передо мной, как будто бы сквозь сон,
При шуме музыки и пляски,
При диком шепоте затверженных речей,
Мелькают образы бездушные людей,
Приличьем стянутые маски,
Когда касаются холодных рук моих
С небрежной смелостью красавиц городских
Давно бестрепетные руки, —
Наружно погружась в их блеск и суету,
Ласкаю я в душе старинную мечту,
Погибших лет святые звуки.
И если как-нибудь на миг удастся мне
Забыться, — памятью к недавней старине
Лечу я вольной, вольной птицей;
И вижу я себя ребенком; и кругом
Родные всё места: высокий барский дом
И сад с разрушенной теплицей;
Зеленой сетью трав подернут спящий пруд,
А за прудом село дымится — и встают
Вдали туманы над полями.
В аллею темную вхожу я; сквозь кусты
Глядит вечерний луч, и желтые листы
Шумят под робкими шагами.
И странная тоска теснит уж грудь мою:
Я думаю об ней, я плачу и люблю,
Люблю мечты моей созданье
С глазами, полными лазурного огня,
С улыбкой розовой, как молодого дня
За рощей первое сиянье.
Так царства дивного всесильный господин —
Я долгие часы просиживал один,
И память их жива поныне
Под бурей тягостных сомнений и страстей,
Как свежий островок безвредно средь морей
Цветет на влажной их пустыне.
Когда ж, опомнившись, обман я узнаю,
И шум толпы людской спугнет мечту мою,
На праздник не́званую гостью,
О, как мне хочется смутить веселость их
И дерзко бросить им в глаза железный стих,
Облитый горечью и злостью!.."
Лермонтов М.Ю.,Утес,"Ночевала тучка золотая
На груди утеса-великана;
Утром в путь она умчалась рано,
По лазури весело играя;
Но остался влажный след в морщине
Старого утеса. Одиноко
Он стоит, задумался глубоко,
И тихонько плачет он в пустыне."
Лермонтов М.Ю.,Пророк,"С тех пор как вечный судия
Мне дал всеведенье пророка,
В очах людей читаю я
Страницы злобы и порока.
Провозглашать я стал любви
И правды чистые ученья:
В меня все ближние мои
Бросали бешено каменья.
Посыпал пеплом я главу,
Из городов бежал я нищий,
И вот в пустыне я живу,
Как птицы, даром божьей пищи;
Завет предвечного храня,
Мне тварь покорна там земная;
И звезды слушают меня,
Лучами радостно играя.
Когда же через шумный град
Я пробираюсь торопливо,
То старцы детям говорят
С улыбкою самолюбивой:
«Смотрите: вот пример для вас!
Он горд был, не ужился с нами:
Глупец, хотел уверить нас,
Что бог гласит его устами!
Смотрите ж, дети, на него:
Как он угрюм, и худ, и бледен!
Смотрите, как он наг и беден,
Как презирают все его!»"
Лермонтов М.Ю.,Пан,"Люблю, друзья, когда за речкой гаснет день,
Укрывшися лесов в таинственную сень,
Или под ветвями пустынныя рябины,
Смотреть на синие, туманные равнины.
Тогда приходит Пан с толпою пастухов;
И пляшут вкруг меня на бархате лугов.
Но чаще бог овец ко мне в уединенье
Является, ведя святое вдохновенье:
Главу рогатую ласкает легкий хмель,
В одной руке его стакан, в другой свирель!
Он учит петь меня: и я в тиши дубравы
Играю и пою, не зная жажды славы."
Есенин С.А.,Богатырский посвист,"Грянул гром. Чашка неба расколота.
Разорвалися тучи тесные.
На подвесках из легкого золота
Закачались лампадки небесные.
Отворили ангелы окно высокое,
Видят — умирает тучка безглавая,
А с запада, как лента широкая,
Подымается заря кровавая.
Догадалися слуги божии,
Что недаром земля просыпается,
Видно, мол, немцы негожие
Войной на мужика подымаются.
Сказали ангелы солнышку:
«Разбуди поди мужика, красное,
Потрепи его за головушку,
Дескать, беда для тебя опасная».
Встал мужик, из ковша умывается,
Ласково беседует с домашней птицею,
Умывшись, в лапти наряжается
И достает сошники с палицею.
Думает мужик дорогой в кузницу:
«Проучу я харю поганую».
И на ходу со злобы тужится,
Скидает с плечей сермягу рваную.
Сделал кузнец мужику пику вострую,
И уселся мужик на клячу брыкучую.
Едет он дорогой пестрою,
Насвистывает песню могучую.
Выбирает мужик дорожку приметнее,
Едет, свистит, ухмыляется,
Видят немцы — задрожали дубы столетние
На дубах от свиста листы валятся.
Побросали немцы шапки медные,
Испугались посвисту богатырского...
Правит Русь праздники победные,
Гудит земля от звона монастырского."
Есенин С.А.,Бабушкины сказки,"В зимний вечер по задворкам
Разухабистой гурьбой
По сугробам, по пригоркам
Мы идем, бредем домой.
Опостылеют салазки,
И садимся в два рядка
Слушать бабушкины сказки
Про Ивана-дурака.
И сидим мы, еле дышим.
Время к полночи идет.
Притворимся, что не слышим,
Если мама спать зовет.
Сказки все. Пора в постели...
Но а как теперь уж спать?
И опять мы загалдели,
Начинаем приставать.
Скажет бабушка несмело:
«Что ж, сидеть-то до зари?»
Ну, а нам какое дело, —
Говори да говори."
Есенин С.А.,Береза,"Белая береза
Под моим окном
Принакрылась снегом,
Точно серебром.
На пушистых ветках
Снежною каймой
Распустились кисти
Белой бахромой.
И стоит береза
В сонной тишине,
И горят снежинки
В золотом огне.
А заря, лениво
Обходя кругом,
Обсыпает ветки
Новым серебром."
Есенин С.А.,Бельгия,"Побеждена, но не рабыня,
Стоишь ты гордо без доспех,
Осквернена твоя святыня,
Зато душа чиста, как снег.
Кровавый пир в дыму пожара
Устроил грозный сатана,
И под мечом его удара
Разбита храбрая страна.
Но дух свободный, дух могучий
Великих сил не угасил,
Он, как орел, парит за тучей
Над цепью доблестных могил.
И жребий правды совершится:
Падет твой враг к твоим ногам
И будет с горестью молиться
Твоим разбитым алтарям.
"
Есенин С.А.,Моя жизнь,"Будто жизнь на страданья моя обречёна;
Горе вместе с тоской заградили мне путь;
Будто с радостью жизнь навсегда разлучёна,
От тоски и от ран истомилася грудь.
Будто в жизни мне выпал страданья удел;
Незавидная мне в жизни выпала доля.
Уж и так в жизни много всего я терпел,
Изнывает душа от тоски и от горя.
Даль туманная радость и счастье сулит,
А дойду — только слышатся вздохи да слезы,
Вдруг наступит гроза, сильный гром загремит
И разрушит волшебные, сладкие грезы.
Догадался и понял я жизни обман,
Не ропщу на свою незавидную долю.
Не страдает душа от тоски и от ран,
Не поможет никто ни страданьям, ни горю."
Есенин С.А.,Егорий,"В синих далях плоскогорий,
В лентах облаков
Собирал святой Егорий
Белыих волков.
«Ой ли, светы, [ратовой уж]
Слухайте мой сказ.
У меня в лихом изгой уж
Есть поклон до вас.
Все волчицы строят гнезда
В муромских лесах.
В их глазах застыли звезды
На ребячий страх.
И от тех ли серолобых
Ваш могучий род,
Как и вы, сгорает в злобах
Чужевой ⟨?⟩ оплот.
Но недавно помирились
С русским мужиком.
Долго злились, долго бились
В пуще вы тайком.
Там с закатных поднебесий
Скачет враг — силен,
Как на эти ли полесья
Затаил полон.
Чую, выйдет лохманида—
Не ужиться вам,
Но уж черная планида
Машет по горам».
Громовень подняли волки:
«Мы ль трусовики!
Когти остры, зубы колки —
Разорвем в клоки!»
Собирались все огулом
Вырядить свой суд.
Грозным криком, дальним гулом
Замирал их гуд.
Как почуяли облаву,
Вышли на бугор.
«Ты веди нас на расправу,
Храбрый наш Егор!»
«Ладно, — молвил им Егорий,—
Я вас поведу
Меж далеких плоскогорий,
Укрочу беду».
Скачет всадник с длинной пикой,
Распугал всех сов.
И дрожит земля от крика
Волчьих голосов."
Есенин С.А.,Голубень,"В прозрачном холоде заголубели долы,
Отчетлив стук подкованных копыт,
Трава, поблекшая, в расстеленные полы
Сбирает медь с обветренных ракит.
С пустых лощин ползет дугою тощей
Сырой туман, курчаво свившись в мох,
И вечер, свесившись над речкою, полощет
Водою белой пальцы синих ног.
*
Осенним холодом расцвечены надежды,
Бредет мой конь, как тихая судьба,
И ловит край махающей одежды
Его чуть мокрая буланая губа.
В дорогу дальнюю, не к битве, не к покою,
Влекут меня незримые следы,
Погаснет день, мелькнув пятой златою,
И в короб лет улягутся труды.
*
Сыпучей ржавчиной краснеют по дороге
Холмы плешивые и слегшийся песок,
И пляшет сумрак в галочьей тревоге,
Согнув луну в пастушеский рожок.
Молочный дым качает ветром села,
Но ветра нет, есть только легкий звон.
И дремлет Русь в тоске своей веселой,
Вцепивши руки в желтый крутосклон.
*
Манит ночлег, недалеко до хаты,
Укропом вялым пахнет огород,
На грядки серые капусты волноватой
Рожок луны по капле масло льет.
Тянусь к теплу, вдыхаю мягкость хлеба
И с хруптом мысленно кусаю огурцы,
За ровной гладью вздрогнувшее небо
Выводит облако из стойла под уздцы.
*
Ночлег, ночлег, мне издавна знакома
Твоя попутная разымчивость в крови,
Хозяйка спит, а свежая солома
Примята ляжками вдовеющей любви.
Уже светает, краской тараканьей
Обведена божница по углу,
Но мелкий дождь своей молитвой ранней
Еще стучит по мутному стеклу.
*
Опять передо мною голубое поле,
Качают лужи солнца рдяный лик.
Иные в сердце радости и боли,
И новый говор липнет на язык.
Водою зыбкой стынет синь во взорах,
Бредет мой конь, откинув удила,
И горстью смуглою листвы последний ворох
Кидает ветер вслед из подола."
Есенин С.А.,В хате,"Пахнет рыхлыми дроченами;
У порога в дежке квас,
Над печурками точеными
Тараканы лезут в паз.
Вьется сажа над заслонкою,
В печке нитки попелиц,
А на лавке за солонкою —
Шелуха сырых яиц.
Мать с ухватами не сладится,
Нагибается низко́,
Старый кот к махотке крадется
На парное молоко.
Квохчут куры беспокойные
Над оглоблями сохи,
На дворе обедню стройную
Запевают петухи.
А в окне на сени скатые,
От пугливой шумоты,
Из углов щенки кудлатые
Заползают в хомуты."
Есенин С.А.,У могилы,"В этой могиле под скромными ивами
Спит он, зарытый землей,
С чистой душой, со святыми порывами,
С верой зари огневой.
Тихо погасли огни благодатные
В сердце страдальца земли,
И на чело никому не понятные
Мрачные тени легли.
Спит он, а ивы над ним наклонилися,
Свесили ветви кругом,
Точно в раздумье они погрузилися,
Думают думы о нем.
Тихо от ветра, тоски напустившего,
Плачет, нахмурившись, даль,
Точно им всем безо времени сгибшего
Бедного юношу жаль."
